Cidade;Descricao;Unidade;Valor
Áurea.csv;Despesas orçamentárias empenhadas - Correntes;Reais;652438753
Áurea.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;400480057
Áurea.csv;Número de unidades locais;Unidades;146
Áurea.csv;Pessoal ocupado total;Pessoas;443
Aceguá.csv;Total de endereços urbanos;endereços;624
Aceguá.csv;Total de endereços rurais;endereços;1467
Aceguá.csv;Total de estabelecimentos de ensino;estabelecimentos;9
Aceguá.csv;Total de estabelecimentos de saúde;estabelecimentos;4
Aceguá.csv;Domicílios particulares permanentes;domicílios;1397
Aceguá.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;386
Aceguá.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;1385
Aceguá.csv;População residente ;pessoas;4394
Aceguá.csv;População residente - Homens;pessoas;2303
Aceguá.csv;População residente - Mulheres;pessoas;2091
Aceguá.csv;População residente alfabetizada;pessoas;3841
Aceguá.csv;População residente - cor ou raça - Branca;pessoas;3533
Aceguá.csv;População residente - cor ou raça - Preta;pessoas;338
Aceguá.csv;População residente - cor ou raça - Parda;pessoas;489
Aceguá.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;91
Aceguá.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;11
Aceguá.csv;Área da unidade territorial;Km²;1549.391
Aceguá.csv;Eleitorado;Eleitores;3352
Aceguá.csv;PIB per capita a preços correntes;Reais;21196.15
Aceguá.csv;Matrícula - Ensino fundamental - 2009;Matrículas;847
Aceguá.csv;Matrícula - Ensino médio - 2009;Matrículas;202
Aceguá.csv;Docentes - Ensino fundamental - 2009;Docentes;58
Aceguá.csv;Docentes - Ensino médio - 2009;Docentes;15
Aceguá.csv;Estabelecimentos de Saúde SUS;estabelecimentos;3
Aceguá.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;74
Aceguá.csv;Receitas orçamentárias realizadas - Correntes;Reais;1257513399
Aceguá.csv;Despesas orçamentárias empenhadas - Correntes;Reais;977121642
Aceguá.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;398917557
Aceguá.csv;Número de unidades locais;Unidades;131
Aceguá.csv;Pessoal ocupado total;Pessoas;603
Agudo.csv;Total de endereços urbanos;endereços;3114
Agudo.csv;Total de endereços rurais;endereços;3907
Agudo.csv;Total de estabelecimentos de ensino;estabelecimentos;13
Agudo.csv;Total de estabelecimentos de saúde;estabelecimentos;19
Agudo.csv;Domicílios particulares permanentes;domicílios;5425
Agudo.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;2600
Agudo.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;5390
Agudo.csv;População residente ;pessoas;16722
Agudo.csv;População residente - Homens;pessoas;8349
Agudo.csv;População residente - Mulheres;pessoas;8373
Agudo.csv;População residente alfabetizada;pessoas;14658
Agudo.csv;População residente - cor ou raça - Branca;pessoas;14593
Agudo.csv;População residente - cor ou raça - Preta;pessoas;517
Agudo.csv;População residente - cor ou raça - Parda;pessoas;1534
Agudo.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;378
Agudo.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;23
Agudo.csv;Área da unidade territorial;Km²;536.117
Agudo.csv;Eleitorado;Eleitores;12591
Agudo.csv;PIB per capita a preços correntes;Reais;14242.02
Agudo.csv;Matrícula - Ensino fundamental - 2009;Matrículas;2348
Agudo.csv;Matrícula - Ensino médio - 2009;Matrículas;485
Agudo.csv;Docentes - Ensino fundamental - 2009;Docentes;163
Agudo.csv;Docentes - Ensino médio - 2009;Docentes;47
Agudo.csv;Estabelecimentos de Saúde SUS;estabelecimentos;7
Agudo.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;143
Agudo.csv;Receitas orçamentárias realizadas - Correntes;Reais;2397307580
Agudo.csv;Despesas orçamentárias empenhadas - Correntes;Reais;1674377303
Agudo.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;838091273
Agudo.csv;Número de unidades locais;Unidades;567
Agudo.csv;Pessoal ocupado total;Pessoas;2331
Ajuricaba.csv;Total de endereços urbanos;endereços;1913
Ajuricaba.csv;Total de endereços rurais;endereços;1277
Ajuricaba.csv;Total de estabelecimentos de ensino;estabelecimentos;18
Ajuricaba.csv;Total de estabelecimentos de saúde;estabelecimentos;13
Ajuricaba.csv;Domicílios particulares permanentes;domicílios;2456
Ajuricaba.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;2076
Ajuricaba.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;2448
Ajuricaba.csv;População residente ;pessoas;7255
Ajuricaba.csv;População residente - Homens;pessoas;3585
Ajuricaba.csv;População residente - Mulheres;pessoas;3670
Ajuricaba.csv;População residente alfabetizada;pessoas;6417
Ajuricaba.csv;População residente - cor ou raça - Branca;pessoas;6229
Ajuricaba.csv;População residente - cor ou raça - Preta;pessoas;120
Ajuricaba.csv;População residente - cor ou raça - Parda;pessoas;868
Ajuricaba.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;161
Ajuricaba.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;20
Ajuricaba.csv;Área da unidade territorial;Km²;323.240
Ajuricaba.csv;Eleitorado;Eleitores;5811
Ajuricaba.csv;PIB per capita a preços correntes;Reais;17268.43
Ajuricaba.csv;Matrícula - Ensino fundamental - 2009;Matrículas;852
Ajuricaba.csv;Matrícula - Ensino médio - 2009;Matrículas;212
Ajuricaba.csv;Docentes - Ensino fundamental - 2009;Docentes;76
Ajuricaba.csv;Docentes - Ensino médio - 2009;Docentes;24
Ajuricaba.csv;Estabelecimentos de Saúde SUS;estabelecimentos;4
Ajuricaba.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;82
Ajuricaba.csv;Receitas orçamentárias realizadas - Correntes;Reais;1221180086
Ajuricaba.csv;Despesas orçamentárias empenhadas - Correntes;Reais;958394368
Ajuricaba.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;398932448
Ajuricaba.csv;Número de unidades locais;Unidades;331
Ajuricaba.csv;Pessoal ocupado total;Pessoas;1314
Alecrim.csv;Total de endereços urbanos;endereços;1021
Alecrim.csv;Total de endereços rurais;endereços;2391
Alecrim.csv;Total de estabelecimentos de ensino;estabelecimentos;29
Alecrim.csv;Total de estabelecimentos de saúde;estabelecimentos;8
Alecrim.csv;Domicílios particulares permanentes;domicílios;2471
Alecrim.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;1915
Alecrim.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;2440
Alecrim.csv;População residente ;pessoas;7045
Alecrim.csv;População residente - Homens;pessoas;3512
Alecrim.csv;População residente - Mulheres;pessoas;3533
Alecrim.csv;População residente alfabetizada;pessoas;6204
Alecrim.csv;População residente - cor ou raça - Branca;pessoas;5849
Alecrim.csv;População residente - cor ou raça - Preta;pessoas;104
Alecrim.csv;População residente - cor ou raça - Parda;pessoas;1071
Alecrim.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;441
Alecrim.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;1
Alecrim.csv;Área da unidade territorial;Km²;314.744
Alecrim.csv;Eleitorado;Eleitores;6014
Alecrim.csv;PIB per capita a preços correntes;Reais;8824.20
Alecrim.csv;Matrícula - Ensino fundamental - 2009;Matrículas;993
Alecrim.csv;Matrícula - Ensino médio - 2009;Matrículas;285
Alecrim.csv;Docentes - Ensino fundamental - 2009;Docentes;65
Alecrim.csv;Docentes - Ensino médio - 2009;Docentes;18
Alecrim.csv;Estabelecimentos de Saúde SUS;estabelecimentos;7
Alecrim.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;69
Alecrim.csv;Receitas orçamentárias realizadas - Correntes;Reais;1038247829
Alecrim.csv;Despesas orçamentárias empenhadas - Correntes;Reais;801531447
Alecrim.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;398917557
Alecrim.csv;Número de unidades locais;Unidades;174
Alecrim.csv;Pessoal ocupado total;Pessoas;625
Alegrete.csv;Total de endereços urbanos;endereços;28527
Alegrete.csv;Total de endereços rurais;endereços;4316
Alegrete.csv;Total de estabelecimentos de ensino;estabelecimentos;84
Alegrete.csv;Total de estabelecimentos de saúde;estabelecimentos;106
Alegrete.csv;Domicílios particulares permanentes;domicílios;25921
Alegrete.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;22152
Alegrete.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;25701
Alegrete.csv;População residente ;pessoas;77653
Alegrete.csv;População residente - Homens;pessoas;38051
Alegrete.csv;População residente - Mulheres;pessoas;39602
Alegrete.csv;População residente alfabetizada;pessoas;68277
Alegrete.csv;População residente - cor ou raça - Branca;pessoas;55865
Alegrete.csv;População residente - cor ou raça - Preta;pessoas;5361
Alegrete.csv;População residente - cor ou raça - Parda;pessoas;15919
Alegrete.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;1846
Alegrete.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;77
Alegrete.csv;Área da unidade territorial;Km²;7803.990
Alegrete.csv;Eleitorado;Eleitores;60463
Alegrete.csv;PIB per capita a preços correntes;Reais;12851.75
Alegrete.csv;Matrícula - Ensino fundamental - 2009;Matrículas;12041
Alegrete.csv;Matrícula - Ensino médio - 2009;Matrículas;3989
Alegrete.csv;Docentes - Ensino fundamental - 2009;Docentes;684
Alegrete.csv;Docentes - Ensino médio - 2009;Docentes;293
Alegrete.csv;Estabelecimentos de Saúde SUS;estabelecimentos;27
Alegrete.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;1001
Alegrete.csv;Receitas orçamentárias realizadas - Correntes;Reais;9416685319
Alegrete.csv;Despesas orçamentárias empenhadas - Correntes;Reais;7994831325
Alegrete.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;1728642861
Alegrete.csv;Número de unidades locais;Unidades;2581
Alegrete.csv;Pessoal ocupado total;Pessoas;12245
Alegria.csv;Total de endereços urbanos;endereços;762
Alegria.csv;Total de endereços rurais;endereços;1154
Alegria.csv;Total de estabelecimentos de ensino;estabelecimentos;14
Alegria.csv;Total de estabelecimentos de saúde;estabelecimentos;5
Alegria.csv;Domicílios particulares permanentes;domicílios;1491
Alegria.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;1152
Alegria.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;1479
Alegria.csv;População residente ;pessoas;4301
Alegria.csv;População residente - Homens;pessoas;2149
Alegria.csv;População residente - Mulheres;pessoas;2152
Alegria.csv;População residente alfabetizada;pessoas;3694
Alegria.csv;População residente - cor ou raça - Branca;pessoas;3557
Alegria.csv;População residente - cor ou raça - Preta;pessoas;65
Alegria.csv;População residente - cor ou raça - Parda;pessoas;666
Alegria.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;230
Alegria.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;17
Alegria.csv;Área da unidade territorial;Km²;172.688
Alegria.csv;Eleitorado;Eleitores;3714
Alegria.csv;PIB per capita a preços correntes;Reais;9515.31
Alegria.csv;Matrícula - Ensino fundamental - 2009;Matrículas;559
Alegria.csv;Matrícula - Ensino médio - 2009;Matrículas;220
Alegria.csv;Docentes - Ensino fundamental - 2009;Docentes;38
Alegria.csv;Docentes - Ensino médio - 2009;Docentes;18
Alegria.csv;Estabelecimentos de Saúde SUS;estabelecimentos;3
Alegria.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;20
Alegria.csv;Receitas orçamentárias realizadas - Correntes;Reais;892700732
Alegria.csv;Despesas orçamentárias empenhadas - Correntes;Reais;691970320
Alegria.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;398917557
Alegria.csv;Número de unidades locais;Unidades;121
Alegria.csv;Pessoal ocupado total;Pessoas;436
Almirante Tamandaré do Sul.csv;Total de endereços urbanos;endereços;423
Almirante Tamandaré do Sul.csv;Total de endereços rurais;endereços;529
Almirante Tamandaré do Sul.csv;Total de estabelecimentos de ensino;estabelecimentos;4
Almirante Tamandaré do Sul.csv;Total de estabelecimentos de saúde;estabelecimentos;3
Almirante Tamandaré do Sul.csv;Domicílios particulares permanentes;domicílios;728
Almirante Tamandaré do Sul.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;382
Almirante Tamandaré do Sul.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;727
Almirante Tamandaré do Sul.csv;População residente ;pessoas;2067
Almirante Tamandaré do Sul.csv;População residente - Homens;pessoas;1041
Almirante Tamandaré do Sul.csv;População residente - Mulheres;pessoas;1026
Almirante Tamandaré do Sul.csv;População residente alfabetizada;pessoas;1869
Almirante Tamandaré do Sul.csv;População residente - cor ou raça - Branca;pessoas;1920
Almirante Tamandaré do Sul.csv;População residente - cor ou raça - Preta;pessoas;47
Almirante Tamandaré do Sul.csv;População residente - cor ou raça - Parda;pessoas;97
Almirante Tamandaré do Sul.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;30
Almirante Tamandaré do Sul.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;1
Almirante Tamandaré do Sul.csv;Área da unidade territorial;Km²;265.369
Almirante Tamandaré do Sul.csv;Eleitorado;Eleitores;1846
Almirante Tamandaré do Sul.csv;PIB per capita a preços correntes;Reais;28813.59
Almirante Tamandaré do Sul.csv;Matrícula - Ensino fundamental - 2009;Matrículas;245
Almirante Tamandaré do Sul.csv;Matrícula - Ensino médio - 2009;Matrículas;67
Almirante Tamandaré do Sul.csv;Docentes - Ensino fundamental - 2009;Docentes;26
Almirante Tamandaré do Sul.csv;Docentes - Ensino médio - 2009;Docentes;9
Almirante Tamandaré do Sul.csv;Estabelecimentos de Saúde SUS;estabelecimentos;3
Almirante Tamandaré do Sul.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;
Almirante Tamandaré do Sul.csv;Receitas orçamentárias realizadas - Correntes;Reais;787217506
Almirante Tamandaré do Sul.csv;Despesas orçamentárias empenhadas - Correntes;Reais;597804500
Almirante Tamandaré do Sul.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;398917557
Almirante Tamandaré do Sul.csv;Número de unidades locais;Unidades;91
Almirante Tamandaré do Sul.csv;Pessoal ocupado total;Pessoas;290
Alpestre.csv;Total de endereços urbanos;endereços;1065
Alpestre.csv;Total de endereços rurais;endereços;2364
Alpestre.csv;Total de estabelecimentos de ensino;estabelecimentos;28
Alpestre.csv;Total de estabelecimentos de saúde;estabelecimentos;8
Alpestre.csv;Domicílios particulares permanentes;domicílios;2687
Alpestre.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;1070
Alpestre.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;2656
Alpestre.csv;População residente ;pessoas;8027
Alpestre.csv;População residente - Homens;pessoas;4129
Alpestre.csv;População residente - Mulheres;pessoas;3898
Alpestre.csv;População residente alfabetizada;pessoas;6648
Alpestre.csv;População residente - cor ou raça - Branca;pessoas;6872
Alpestre.csv;População residente - cor ou raça - Preta;pessoas;289
Alpestre.csv;População residente - cor ou raça - Parda;pessoas;861
Alpestre.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;440
Alpestre.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;10
Alpestre.csv;Área da unidade territorial;Km²;328.751
Alpestre.csv;Eleitorado;Eleitores;6564
Alpestre.csv;PIB per capita a preços correntes;Reais;9518.59
Alpestre.csv;Matrícula - Ensino fundamental - 2009;Matrículas;1224
Alpestre.csv;Matrícula - Ensino médio - 2009;Matrículas;321
Alpestre.csv;Docentes - Ensino fundamental - 2009;Docentes;78
Alpestre.csv;Docentes - Ensino médio - 2009;Docentes;18
Alpestre.csv;Estabelecimentos de Saúde SUS;estabelecimentos;4
Alpestre.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;81
Alpestre.csv;Receitas orçamentárias realizadas - Correntes;Reais;1617907921
Alpestre.csv;Despesas orçamentárias empenhadas - Correntes;Reais;1054793846
Alpestre.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;398942557
Alpestre.csv;Número de unidades locais;Unidades;257
Alpestre.csv;Pessoal ocupado total;Pessoas;697
Alto Alegre.csv;Total de endereços urbanos;endereços;403
Alto Alegre.csv;Total de endereços rurais;endereços;425
Alto Alegre.csv;Total de estabelecimentos de ensino;estabelecimentos;6
Alto Alegre.csv;Total de estabelecimentos de saúde;estabelecimentos;3
Alto Alegre.csv;Domicílios particulares permanentes;domicílios;623
Alto Alegre.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;588
Alto Alegre.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;620
Alto Alegre.csv;População residente ;pessoas;1848
Alto Alegre.csv;População residente - Homens;pessoas;944
Alto Alegre.csv;População residente - Mulheres;pessoas;904
Alto Alegre.csv;População residente alfabetizada;pessoas;1623
Alto Alegre.csv;População residente - cor ou raça - Branca;pessoas;1617
Alto Alegre.csv;População residente - cor ou raça - Preta;pessoas;12
Alto Alegre.csv;População residente - cor ou raça - Parda;pessoas;210
Alto Alegre.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;53
Alto Alegre.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;4
Alto Alegre.csv;Área da unidade territorial;Km²;114.446
Alto Alegre.csv;Eleitorado;Eleitores;1537
Alto Alegre.csv;PIB per capita a preços correntes;Reais;14913.04
Alto Alegre.csv;Matrícula - Ensino fundamental - 2009;Matrículas;215
Alto Alegre.csv;Matrícula - Ensino médio - 2009;Matrículas;71
Alto Alegre.csv;Docentes - Ensino fundamental - 2009;Docentes;27
Alto Alegre.csv;Docentes - Ensino médio - 2009;Docentes;14
Alto Alegre.csv;Estabelecimentos de Saúde SUS;estabelecimentos;1
Alto Alegre.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;1
Alto Alegre.csv;Receitas orçamentárias realizadas - Correntes;Reais;703845375
Alto Alegre.csv;Despesas orçamentárias empenhadas - Correntes;Reais;464819706
Alto Alegre.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;398917591
Alto Alegre.csv;Número de unidades locais;Unidades;81
Alto Alegre.csv;Pessoal ocupado total;Pessoas;239
Alto Feliz.csv;Total de endereços urbanos;endereços;456
Alto Feliz.csv;Total de endereços rurais;endereços;933
Alto Feliz.csv;Total de estabelecimentos de ensino;estabelecimentos;4
Alto Feliz.csv;Total de estabelecimentos de saúde;estabelecimentos;1
Alto Feliz.csv;Domicílios particulares permanentes;domicílios;999
Alto Feliz.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;585
Alto Feliz.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;999
Alto Feliz.csv;População residente ;pessoas;2917
Alto Feliz.csv;População residente - Homens;pessoas;1500
Alto Feliz.csv;População residente - Mulheres;pessoas;1417
Alto Feliz.csv;População residente alfabetizada;pessoas;2689
Alto Feliz.csv;População residente - cor ou raça - Branca;pessoas;2802
Alto Feliz.csv;População residente - cor ou raça - Preta;pessoas;34
Alto Feliz.csv;População residente - cor ou raça - Parda;pessoas;69
Alto Feliz.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;26
Alto Feliz.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;
Alto Feliz.csv;Área da unidade territorial;Km²;79.173
Alto Feliz.csv;Eleitorado;Eleitores;2100
Alto Feliz.csv;PIB per capita a preços correntes;Reais;8079.79
Alto Feliz.csv;Matrícula - Ensino fundamental - 2009;Matrículas;322
Alto Feliz.csv;Matrícula - Ensino médio - 2009;Matrículas;81
Alto Feliz.csv;Docentes - Ensino fundamental - 2009;Docentes;19
Alto Feliz.csv;Docentes - Ensino médio - 2009;Docentes;11
Alto Feliz.csv;Estabelecimentos de Saúde SUS;estabelecimentos;2
Alto Feliz.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;
Alto Feliz.csv;Receitas orçamentárias realizadas - Correntes;Reais;827590366
Alto Feliz.csv;Despesas orçamentárias empenhadas - Correntes;Reais;594929987
Alto Feliz.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;398917557
Alto Feliz.csv;Número de unidades locais;Unidades;99
Alto Feliz.csv;Pessoal ocupado total;Pessoas;631
Alvorada.csv;Total de endereços urbanos;endereços;72336
Alvorada.csv;Total de endereços rurais;endereços;0
Alvorada.csv;Total de estabelecimentos de ensino;estabelecimentos;68
Alvorada.csv;Total de estabelecimentos de saúde;estabelecimentos;56
Alvorada.csv;Domicílios particulares permanentes;domicílios;60211
Alvorada.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;58403
Alvorada.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;60051
Alvorada.csv;População residente ;pessoas;195673
Alvorada.csv;População residente - Homens;pessoas;95080
Alvorada.csv;População residente - Mulheres;pessoas;100593
Alvorada.csv;População residente alfabetizada;pessoas;168928
Alvorada.csv;População residente - cor ou raça - Branca;pessoas;143812
Alvorada.csv;População residente - cor ou raça - Preta;pessoas;24982
Alvorada.csv;População residente - cor ou raça - Parda;pessoas;26003
Alvorada.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;1531
Alvorada.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;28
Alvorada.csv;Área da unidade territorial;Km²;71.311
Alvorada.csv;Eleitorado;Eleitores;124001
Alvorada.csv;PIB per capita a preços correntes;Reais;5149.65
Alvorada.csv;Matrícula - Ensino fundamental - 2009;Matrículas;35915
Alvorada.csv;Matrícula - Ensino médio - 2009;Matrículas;7365
Alvorada.csv;Docentes - Ensino fundamental - 2009;Docentes;1240
Alvorada.csv;Docentes - Ensino médio - 2009;Docentes;358
Alvorada.csv;Estabelecimentos de Saúde SUS;estabelecimentos;25
Alvorada.csv;Nascidos vivos -  registrados - lugar do registro;pessoas;2661
Alvorada.csv;Receitas orçamentárias realizadas - Correntes;Reais;15284939502
Alvorada.csv;Despesas orçamentárias empenhadas - Correntes;Reais;12510497825
Alvorada.csv;Valor do Fundo de Participação dos Municípios  - FPM;Reais;3614220766
Alvorada.csv;Número de unidades locais;Unidades;3371
Alvorada.csv;Pessoal ocupado total;Pessoas;18376
Amaral Ferrador.csv;Total de endereços urbanos;endereços;989
Amaral Ferrador.csv;Total de endereços rurais;endereços;1860
Amaral Ferrador.csv;Total de estabelecimentos de ensino;estabelecimentos;17
Amaral Ferrador.csv;Total de estabelecimentos de saúde;estabelecimentos;3
Amaral Ferrador.csv;Domicílios particulares permanentes;domicílios;2094
Amaral Ferrador.csv;Domicílios particulares permanentes - abastecimento de água - Rede geral;domicílios;1376
Amaral Ferrador.csv;Domicílios particulares permanentes - energia elétrica - Tinham;domicílios;2055
Amaral Ferrador.csv;População residente ;pessoas;6353
Amaral Ferrador.csv;População residente - Homens;pessoas;3281
Amaral Ferrador.csv;População residente - Mulheres;pessoas;3072
Amaral Ferrador.csv;População residente alfabetizada;pessoas;5109
Amaral Ferrador.csv;População residente - cor ou raça - Branca;pessoas;5072
Amaral Ferrador.csv;População residente - cor ou raça - Preta;pessoas;857
Amaral Ferrador.csv;População residente - cor ou raça - Parda;pessoas;372
Amaral Ferrador.csv;População residente - classes de rendimento nominal mensal - Até 1/4 de salário mínimo ;pessoas;191
Amaral Ferrador.csv;População residente - classes de rendimento nominal mensal - Mais de 30 salários mínimos ;pessoas;1
Amaral Ferrador.csv;Área da unidade territorial;Km²;506.459
Amaral Ferrador.csv;Eleitorado;Eleitores;4385
Amaral Ferrador.csv;PIB per capita a preços correntes;Reais;7614.05
